Batch,Origin Country,Origin State,Origin City,Origin Postal,Destination Country,Destination Postal,Linehaul
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,V8R,"$3,353"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,V2L,"$3,287"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,T8E,"$2,649"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,T5E,"$2,667"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,S7S,"$2,191"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,S4H,"$1,701"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,R0A,"$1,302"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,N0H,"$2,131"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,M3A,"$2,124"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,L7A,"$2,090"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,L6W,"$2,089"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,L4N,"$2,175"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,L1E,"$2,164"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,L0H,"$2,147"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,J9T,"$2,190"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,J9P,"$2,245"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,J9E,"$2,311"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,J8Z,"$2,533"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,J7N,"$2,641"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,J2B,"$2,699"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,H4C,"$2,605"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,H2E,"$2,606"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,G1P,"$2,825"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,E3N,"$3,218"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,B3J,"$3,632"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,B1W,"$3,788"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,CA,A1B,"$4,568"
"Minneapolis, MN",USA,MN,"Minneapolis, MN",55407,US,99128,"$2,829"
